main_color,px_color1,px_color2,px_color3
AQUA,Blue,,
AQUA / CLEAR,Blue,Clear,
AQUA BLUE,Blue,,
AQUA/CLEAR,Blue,Clear,
ATHLETIC GOLD,Gold,,
Aqua,Blue,,
BAMBOO/BLACK,Tan/Beige,Black,
BAMBOO/REFLEX BLUE,Tan/Beige,Blue,
BEAR,Brown,,
BERRY,Red,,
BLACK,Black,,
BLACK & KELLY GREEN,Black,Green,
BLACK & MAROON,Black,Red,
BLACK & NAVY BLUE,Black,Blue,
BLACK & PURPLE,Black,Purple,
BLACK & RED,Black,Red,
BLACK & ROYAL,Black,Blue,
BLACK & SILVER,Black,Silver,
BLACK / CLEAR,Black,Clear,
BLACK / SMOKE,Black,Grey,
BLACK BARREL/BLACK INK,Black,,
BLACK BTL/BLK LID,Black,,
BLACK CAMO,Black,,
BLACK OXFORD / BROWN,Black,Brown,
BLACK PLAID,Black,,
BLACK W/SILVER TRIM,Black,Silver,
BLACK w/Black Inside,Black,,
BLACK/BLACK,Black,,
BLACK/BLUE,Black,Blue,
BLACK/CLEAR,Black,Clear,
BLACK/HUNTER GREEN,Black,Green,
BLACK/LIME,Black,Green,
BLACK/LT PINK,Black,Pink,
BLACK/NEON BLUE,Black,Blue,
BLACK/NEON GREEN,Black,Green,
BLACK/NEON ORANGE,Black,Orange,
BLACK/NEON PINK,Black,Pink,
BLACK/NEON YELLOW,Black,Yellow,
BLACK/ORANGE,Black,Orange,
BLACK/PINK,Black,Pink,
BLACK/RED,Black,Red,
BLACK/REFLEX BLUE,Black,Blue,
BLACK/SILVER,Black,Silver,
BLACK/TURQUOISE,Black,Blue,
BLACK/WHITE,Black,White,
BLACK/YELLOW,Black ,Yellow,
BLACK/YELLOW HIGHLIGHTER,Black,Yellow,
BLUE,Blue,,
BLUE / CLEAR,Blue,Clear,
BLUE / GREEN,Blue ,Green,
BLUE W/MATCHING LID/LIGHT,Blue,,
BLUE w/Grey,Blue,Grey,
BLUE/BLACK,Blue ,Black,
BLUE/BLUE,Blue,,
BLUE/BLUE HIGHLIGHTER,Blue,,
BLUE/CLEAR,Blue,Clear,
BLUE/SILVER,Blue,Silver,
BLUE/WHITE,Blue,White,
BLUEBERRY,Blue,,
BRIGHT YELLOW,Yellow,,
BROWN,Brown,,
BROWN CAMO,Brown,,
BROWN/WHITE,Brown,,
BUBBLE GUM,Pink,,
Black,Black,,
Black Metallic,Black,,
Black/White Stripe,Black,White,
Blue,Blue,,
Blue / Trans Blue lid,Blue,,
Blue w/Blue Inside,Blue,,
Blue/Black,Blue,,
CAMO,Green,,
CAMOUFLAGE,Green,,
CAROLINA BLUE,Blue,,
CHARCOAL,Grey,,
CHARCOAL GREY,Grey,,
CHERRY,Red,,
CITRUS,Red,,
CLEAR,Clear,,
CLEAR / BLACK LID,Clear,Black,
CLEAR BODY/CLEAR LID,Clear,,
CLEAR BODY/RED TRANS LID,Clear,Red,
CLEAR BODY/REFL BLU TR LD,Clear,Blue,
CLEAR BODY/SMOKE TRAN LID,Clear,Grey,
CLEAR FROST,Clear,,
CLEAR/BLACK,Clear,Black,
CLEAR/BLACK LID,Clear,Black,
CLEAR/CLEAR,Clear,,
CLEAR/HUNTER GREEN,Clear,Green,
CLEAR/ORANGE,Clear,Orange,
CLEAR/PINK,Clear,Pink,
CLEAR/PURPLE,Clear ,Purple,
CLEAR/RED,Clear,Red,
CLEAR/REFLEX BLUE,Clear,Blue,
CLEAR/ROYAL,Clear,Blue,
CLEAR/YELLOW,Clear,Yellow,
COBALT BLUE,Blue,,
CORAL PINK/WHITE,Pink,White,
CORK,Brown,,
COW,,,
CRIMSON RED,Red,,
CRYSTAL CLEAR,Clear,,
CRYSTAL RED,Red,,
CYLINDER,,,
Clear,Clear,,
Clear / Clear lid,Clear,,
Clear / Trans Blue lid,Clear,Blue,
Clear / Trans Green lid,Clear,Green,
Clear / Trans Red lid,Clear,Red,
Cobalt Blue,Blue,,
Cork,Brown,,
DARK BLUE,Blue,,
DARK BROWN,Brown,,
DARK GREEN,Green,,
DUCK,,,
EAGLE,,,
ELEPHANT,,,
FOREST GREEN,Green,,
FROST,Clear,,
FROST/GREEN,Clear,Green,
FROST/REFLEX BLUE,Clear,Blue,
FROSTED TRANS BLUE,Blue,,
FROSTED TRANS GREEN,Green,,
FROSTED TRANS ORANGE,Orange,,
FROSTED TRANS PURPLE,Purple,,
FROSTED TRANS RED,Red,,
FROSTED TRANS SMOKE,Grey,,
FUCHSIA,Pink,,
FUSCHIA,Pink,,
Foil,,,
Frost,Clear,,
GOLD,Gold,,
GRANITE/BLACK,Grey,Black,
GRAPE,Purple,,
GRASS,Green,,
GRASS GREEN,Green,,
GRAY,Grey,,
GRAY/BLACK,Grey,Black,
GRAY/RED,Grey,Red,
GRAY/REFLEX BLUE,Grey,Blue,
GREEN,Green,,
GREEN / CLEAR,Green,Clear,
GREEN / HUNTER GREEN,Green,,
GREEN/BLACK,Green,Black,
GREEN/CLEAR,Green,Clear,
GREEN/WHITE,Green,White,
GREY,Grey,,
GREY/BLACK,Grey,Black,
GREY/BLUE,Grey,Blue,
GREY/LIME,Grey,Green,
GREY/RED,Grey,Red,
GREY/YELLOW,Grey,Yellow,
GRN W/MATCHING LID/LIGHT,Green,,
GUN METAL,Grey,,
GUNMETAL,Grey,,
Grass Green,Green,,
Green,Green,,
Grey,Grey,,
Gunmetal,Grey,,
H. GREEN,Green,,
HUNTER GREEN,Green,,
HUNTER GREEN/WHITE,Green,White,
Hunter Green,Green,,
KELLY GREEN,Green,,
KHAKI,Tan/Beige,,
KIWI,Green,,
Khaki,Tan/Beige,,
LIGHT BLUE,Blue,,
LIGHT BLUE PLAID,Blue,,
LIGHT GRAY/BLACK,Grey,Black,
LIGHT GRAY/BLUE,Grey,Blue,
LIGHT GRAY/ORANGE,Grey,Orange,
LIGHT GRAY/PINK,Grey,Pink,
LIME,Green,,
LIME / CLEAR,Green,Clear,
LIME GREEN,Green,,
LIME w/Grey,Green,Grey,
LIME/CLEAR,Green,Clear,
LIME/SILVER,Green,Silver,
LION,,,
Leopard,,,
Lime,Green,,
MANDARIN,Orange,,
MAROON,Red,,
MAROON RED,Red,,
MAROON w/Grey,Red,Grey,
MAROON/CLEAR,Red,Clear,
MAROON/GREY,Red,Grey,
MATTE METALLIC BLACK,Black,,
MATTE METALLIC GUNMETAL,Grey,,
MATTE METALLIC SILVER,Silver,,
MET. BLUE,Blue,,
MET. GREEN,Green,,
MET. PURPLE,Purple,,
MET. RED,Red,,
MET. SILVER,Silver,,
MET. YELLOW,Yellow,,
METALLIC AQUA,Blue,,
METALLIC BLUE,Blue,,
METALLIC BLUE/GREY,Blue,Grey,
METALLIC GOLD,Gold,,
METALLIC GREEN,Green,,
METALLIC GREEN/GREY,Green,Grey,
METALLIC ORANGE,Orange,,
METALLIC PURPLE,Purple,,
METALLIC RED,Red,,
METALLIC REFLEX BLUE,Blue,,
METALLIC SILVER,Silver,,
MIDNIGHT BLUE,Blue,,
MINT,,,
MISC,,,
MONKEY,,,
Metallic Black,Black,,
Metallic Blue,Blue,,
Metallic Red,Red,,
NATRUAL/RED,Tan/Beige,Red,
NATURAL,Tan/Beige,,
NAVY,Blue,,
NAVY BLUE,Blue,,
NAVY BLUE/WHITE,Blue,White,
NAVY PLAID,Blue,,
NAVY w/Grey,Blue,Grey,
NAVY/GREEN,Blue,Green,
NAVY/WHITE,Blue,White,
NAVY/YELLOW,Blue,Yellow,
NEON BLUE,Blue,,
NEON GREEN,Green,,
NEON GREEN BTL/BLK LID,Green,,
NEON LIME,Green,,
NEON ORANGE,Orange,,
NEON PINK,Pink,,
NEON PURPLE,Purple,,
NEON RED,Red,,
NEON YELLOW,Yellow,,
Natural/Black,Tan/Beige,Black,
Natural/Blue,Tan/Beige,Blue,
Natural/Pink,Tan/Beige,Pink,
Neon Yellow,Yellow,,
ORANGE,Orange,,
ORANGE / CLEAR,Orange,Clear,
ORANGE w/Grey,Orange,Grey,
ORANGE/BLACK,Orange,Black,
ORANGE/CLEAR,Orange,Black,
OWL,,,
Orange,Orange,,
PEN CASE FAUX LEATHER,,,
PENGUIN,,,
PIG,,,
PINA COLADA,,,
PINK,Pink,,
PINK / CLEAR,Pink,Clear,
PINK CAMO,Pink,,
PINK/CLEAR,Pink,Clear,
PINK/WHITE,Pink,White,
POMEGRANATE,Red,,
PURPLE,Purple,,
PURPLE / CLEAR,Purple,Clear,
PURPLE/CLEAR,Purple,Clear,
PURPLE/YELLOW,Purple,Yellow,
Pink,Pink,,
Plaid,,,
Purple,Purple,,
RAINBOW,Multicolor,,
RASPBERRY,Red,,
RED,Red,,
RED / CLEAR,Red,Clear,
RED / RED,Red,,
RED PLAID,Red,,
RED W/MATCHING LID/LIGHT,Red,,
RED w/Grey,Red,Grey,
RED/BLACK,Red,Black,
RED/BLACK PLAID,Red,Black,
RED/CLEAR,Red,Clear,
RED/RED,Red,,
RED/ROYAL,Red,Blue,
RED/SILVER,Red,Silver,
RED/WHITE,Red,White,
REFLEX BLUE,Blue,,
REFLEX BLUE BTL/BLK LID,Blue,Black,
REFLEX BLUE/WHITE,Blue,White,
ROOT BEER,,,
ROYAL,Blue,,
ROYAL BLUE,Blue,,
ROYAL BLUE - SOLID,Blue,,
ROYAL BLUE/WHITE,Blue,White,
ROYAL/WHITE,Blue,White,
Red,Red,,
Red / Trans Red lid,Red,,
Red w/Red Inside,Red,,
Red/Black,Red,Black,
Royal,Blue,,
SAFETY ORANGE,Orange,,
SATIN SILVER,Silver,,
SCHOOL BUS YELLOW,Yellow,,
SILVER,Silver,,
SILVER / BLUE,Silver,Blue,
SILVER / ORANGE,Silver,Orange,
SILVER / PINK,Silver,Pink,
SILVER / YELLOW,Silver,Yellow,
SILVER GREY/BLACK,Silver,Black,
SILVER/BLACK,Silver,Black,
SILVER/BLUE,Silver,Blue,
SILVER/DARK RED,Silver,Red,
SILVER/GREEN,Silver,Green,
SILVER/LIME,Silver,Green,
SILVER/ORANGE,Silver,Orange,
SILVER/RED,Silver,Red,
SILVER/REFLEX BLUE,Silver,Blue,
SILVER/SMOKE,Silver,Grey,
SILVER/YELLOW,Silver,Yellow,
SMOKE,Grey,,
SMOKE/BLACK,Grey,Black,
SMOKE/BLUE,Grey,Blue,
SMOKE/GREEN,Grey,Green,
SMOKE/RED,Grey,Red,
SOLID BLACK,Black,,
SOLID BLUE,Blue,,
SOLID RED,Red,,
SOLID WHITE,White,,
SQUARE,,,
STAINLESS,Silver,,
STAINLESS STEEL,Silver,,
STAINLESS W/BLACK,Black,,
STAINLESS W/BLUE,Blue,,
STAR,,,
STRAWBERRY,Red,,
Satin Silver,Silver,,
Silver,Silver,,
Silver Metallic,Silver,,
Smoke,Grey,,
Smoke / Trans Smoke lid,Grey,,
Solid White,White,,
Stainless,Silver,,
Stainless with Black base,Black,,
T/RED,Red,,
TAN GRANITE/BROWN,Tan/Beige,Brown,
TAN PLAID,Tan/Beige,,
TEAL,Blue,,
TIGER,,,
TORTOISE,,,
TRANS AQUA,Blue,,
TRANS BLUE,Blue,,
TRANS GREEN,Green,,
TRANS LIME,Green,,
TRANS ORANGE,Orange,,
TRANS PINK,Pink,,
TRANS PURPLE,Purple,,
TRANS RED,Red,,
TRANS SMOKE,Grey,,
TRANS YELLOW,Yellow,,
TRANSLUCENT BLUE,Blue,,
TRANSLUCENT GREEN,Green,,
TRANSLUCENT LIME,Green,,
TRANSLUCENT RED,Red,,
TRANSPARENT BLUE/BLUE,Blue,,
TRANSPARENT RED/RED,Red,,
TROPICAL,,,
TURQUOISE,Blue,,
Teal,Blue,,
Tinted Blue,Blue,,
Tinted Green,Green,,
Tinted Pinkish Red,Red,,
Trans Green,Green,,
VANILLA,,,
VANILLA-MINT,,,
VEGAS GOLD,Gold,,
WATERMELON,,,
WHITE,White,,
WHITE / BLUE,White,Blue,
WHITE / GREEN,White,Green,
WHITE / RED,White,Red,
WHITE / WHITE,White,,
WHITE/BLACK,White,Black,
WHITE/BLUE,White ,Blue,
WHITE/FUCHSIA,White ,Pink,
WHITE/GREEN,White ,Green,
WHITE/HUNTER GREEN,White,Green,
WHITE/KELLY GREEN,White ,Green,
WHITE/LIGHT BLUE,White,Blue,
WHITE/LIGHTBLUE,White,Blue,
WHITE/LIME,White ,Green,
WHITE/NAVY,White ,Blue,
WHITE/NAVY BLUE,White,Blue,
WHITE/ORANGE,White ,Orange,
WHITE/PINK,White ,Pink,
WHITE/PURPLE,White ,Purple,
WHITE/RED,White ,Red,
WHITE/REFLEX BLUE,White ,Blue,
WHITE/ROYAL,White ,Blue,
WHITE/ROYAL BLUE,White ,Blue,
WHITE/SMOKE,White ,Grey,
WHITE/WHITE,White,,
White,White,,
White/Light Blue,White ,Blue,
White/Lime,White ,Green,
White/Orange,White ,Orange,
White/Pink,White ,Pink,
YELLOW,Yellow,,
YELLOW GOLD,Yellow,,
YELLOW/BLACK,Yellow,Black,
YELLOW/FOREST GREEN,Yellow,Green,
YELLOW/PURPLE,Yellow,Purple,
YELLOW/RED,Yellow,Red,
YELLOW/YELLOW HIGHLIGHTER,Yellow,,
Yellow,Yellow,,
Zebra,,,
